date,mean_1m_temp_degC,mean_0_5m_temp_degC,mean_1m_temp_degC_m1,mean_0_5m_temp_degC_m1,total_solar_radiation,total_solar_radiation_m1,total_solar_radiation_m2,mean_air_temp,min_air_temp,max_air_temp,mean_air_temp_m1,min_air_temp_m1,max_air_temp_m1,mean_rel_hum_m1,mean_rel_hum_m2,pump_cfs_m1,pump_cfs_m2,pump_cfs_m3,mean_wind,max_wind,mean_wind_m1,max_wind_m1,nf_cfs_m1,nf_cfs_m2,nf_cfs_m3,nf_cfs_m4,chipmunk_cfs_m1,chipmunk_cfs_m2,chipmunk_cfs_m3,chipmunk_cfs_m4
2024-07-17,0.240203079335925,0.08876645796565413,0.5659612519464967,0.19096631356931,114.3916980400974,100.94687425520517,83.8647611152085,-3.953590786153091,-4.083767775991974,-3.6285406160873106,-3.9872212156087223,-3.852370091391966,-3.7771922048112554,0.5684534700175067,-0.08882961392822479,1.4620053088614076,1.6360487339562355,1.5664313639183043,-1.921277697096388,0.5203438391037737,-1.8606792953752107,0.8026787490835673,-0.694762505720997,-0.703854311396062,-0.7081482025624308,-0.7060836454102039,7.432759432472732,7.56596361445887,0.8924340969534285,1.082250056283673
2024-07-18,0.48864888480763824,0.28177702486877737,0.240203079335925,0.08876645796565413,98.33941983799176,114.3916980400974,100.94687425520517,-3.937689022263587,-4.051315661688315,-3.639086843665698,-3.953590786153091,-4.083767775991974,-3.6285406160873106,0.3121295700820703,0.5684534700175067,1.4620053088614076,1.4620053088614076,1.6360487339562355,-1.8833521667674877,-0.29656427606618724,-1.921277697096388,0.5203438391037737,-0.7054536162322942,-0.694762505720997,-0.703854311396062,-0.7081482025624308,3.603139200371307,7.432759432472732,7.56596361445887,0.8924340969534285
2024-07-19,0.3792022912569323,0.014451859319215072,0.48864888480763824,0.28177702486877737,72.31308070550321,98.33941983799176,114.3916980400974,-4.054507805529519,-3.9335003771511152,-3.5702852637495472,-3.937689022263587,-4.051315661688315,-3.639086843665698,0.34929034702143436,0.3121295700820703,1.6261033953793882,1.4620053088614076,1.4620053088614076,-1.8892608544636569,1.765770421704993,-1.8833521667674877,-0.29656427606618724,-0.7072419298218993,-0.7054536162322942,-0.694762505720997,-0.703854311396062,3.320080313650767,3.603139200371307,7.432759432472732,7.56596361445887
2024-07-20,0.0821135553182388,0.09732991927479624,0.3792022912569323,0.014451859319215072,142.8940232998558,72.31308070550321,98.33941983799176,-3.8712515556572806,-4.030856720062094,-3.635571434472902,-4.054507805529519,-3.9335003771511152,-3.5702852637495472,0.5453495452590124,0.34929034702143436,1.6609120803983537,1.6261033953793882,1.4620053088614076,-1.416153604744807,0.16348397826636885,-1.8892608544636569,1.765770421704993,-0.7099995190698267,-0.7072419298218993,-0.7054536162322942,-0.694762505720997,1.4552217658448554,3.320080313650767,3.603139200371307,7.432759432472732
2024-07-21,0.22206388599139423,0.2998199181215403,0.0821135553182388,0.09732991927479624,73.09750816883297,142.8940232998558,72.31308070550321,-4.133399080748316,-3.9229181659651395,-4.033817075885364,-3.8712515556572806,-4.030856720062094,-3.635571434472902,-0.042533356535885025,0.5453495452590124,0.8006402935010618,1.6609120803983537,1.6261033953793882,-1.4025498819094402,2.3103758318182996,-1.416153604744807,0.16348397826636885,-0.7108621744057337,-0.7099995190698267,-0.7072419298218993,-0.7054536162322942,5.467997748177218,1.4552217658448554,3.320080313650767,3.603139200371307
2024-07-22,-0.05763296419374186,0.29684733417568154,0.22206388599139423,0.2998199181215403,122.84949135979815,73.09750816883297,142.8940232998558,-4.279962911030858,-4.406877957537107,-3.817870511185038,-4.133399080748316,-3.9229181659651395,-4.033817075885364,0.3644670322900873,-0.042533356535885025,0.9249570257116532,0.8006402935010618,1.6609120803983537,-1.9586535820582025,2.0911004956410997,-1.4025498819094402,2.3103758318182996,-0.7126844126433801,-0.7108621744057337,-0.7099995190698267,-0.7072419298218993,6.0174649988700315,5.467997748177218,1.4552217658448554,3.320080313650767
2024-07-23,0.20433231496921295,0.0741109278139845,-0.05763296419374186,0.29684733417568154,127.83433068682388,122.84949135979815,73.09750816883297,-4.089656364547417,-4.363843632047471,-3.5029902877731676,-4.279962911030858,-4.406877957537107,-3.817870511185038,0.6016064232742744,0.3644670322900873,1.427196623842442,0.9249570257116532,0.8006402935010618,-1.853533905603099,0.7295869703578332,-1.9586535820582025,2.0911004956410997,-0.5959157740852672,-0.7126844126433801,-0.7108621744057337,-0.7099995190698267,5.018433633974007,6.0174649988700315,5.467997748177218,1.4552217658448554
2024-07-24,0.13116410810756854,0.08505936926573311,0.20433231496921295,0.0741109278139845,81.99572025984457,127.83433068682388,122.84949135979815,-3.956112425087025,-4.279891423305396,-3.5029902877731676,-4.089656364547417,-4.363843632047471,-3.5029902877731676,0.3288975971070487,0.6016064232742744,1.5017866631687968,1.427196623842442,0.9249570257116532,-1.9549434758303752,2.5611809548967965,-1.853533905603099,0.7295869703578332,-0.47041880822396004,-0.5959157740852672,-0.7126844126433801,-0.7108621744057337,8.63159707034796,5.018433633974007,6.0174649988700315,5.467997748177218
2024-07-25,0.34132253115864375,0.031156596011635042,0.13116410810756854,0.08505936926573311,96.18114874475205,81.99572025984457,127.83433068682388,-3.7164538023251574,-4.279891423305396,-3.2373257930604398,-3.956112425087025,-4.279891423305396,-3.5029902877731676,-0.2438086194191948,0.3288975971070487,0.9100390178463822,1.5017866631687968,1.427196623842442,-1.7529488034264515,4.6980406035255875,-1.9549434758303752,2.5611809548967965,-0.49280907593121,-0.47041880822396004,-0.5959157740852672,-0.7126844126433801,2.587457312727016,8.63159707034796,5.018433633974007,6.0174649988700315
2024-07-26,0.3486306170807579,0.038267095815678664,0.34132253115864375,0.031156596011635042,66.41672790153565,96.18114874475205,81.99572025984457,-3.6924210394241936,-3.5278489483553694,-3.670725526400862,-3.7164538023251574,-4.279891423305396,-3.2373257930604398,-0.7823009881844539,-0.2438086194191948,1.7951741511857924,0.9100390178463822,1.5017866631687968,-1.878267947121947,-0.004197161163254175,-1.7529488034264515,4.6980406035255875,-0.4989058198220586,-0.49280907593121,-0.47041880822396004,-0.5959157740852672,2.654059403720084,2.587457312727016,8.63159707034796,5.018433633974007
2024-07-27,0.3660904398880388,0.14419132258405631,0.3486306170807579,0.038267095815678664,71.690797466437175,66.41672790153565,96.18114874475205,-3.698339171616079,-3.8107467273937936,-2.7351244798038667,-3.6924210394241936,-3.5278489483553694,-3.670725526400862,-0.26039983069347056,-0.7823009881844539,1.5017866631687968,1.7951741511857924,0.9100390178463822,-1.356104848390715,1.7141762249574166,-1.878267947121947,-0.004197161163254175,-0.5157809090334535,-0.4989058198220586,-0.49280907593121,-0.47041880822396004,7.699167796445006,2.654059403720084,2.587457312727016,8.63159707034796
2024-07-28,0.2772967106696833,0.32341912380798504,0.3660904398880388,0.14419132258405631,125.35615342138823,71.690797466437175,66.41672790153565,-3.809059705623414,-4.109870563584048,-3.46733399453195,-3.698339171616079,-3.8107467273937936,-2.7351244798038667,-0.21254170083658963,-0.26039983069347056,0.9896017264611606,1.5017866631687968,1.7951741511857924,-1.3805640672260202,0.7295869703578332,-1.356104848390715,1.7141762249574166,-0.5243250739615666,-0.5157809090334535,-0.4989058198220586,-0.49280907593121,8.032178251410347,7.699167796445006,2.654059403720084,2.587457312727016
2024-07-29,0.2918352401667972,0.34885027076338804,0.2772967106696833,0.32341912380798504,92.5548150804762,125.35615342138823,71.690797466437175,-3.8016491748787913,-4.394884784859668,-3.320691211061031,-3.809059705623414,-4.109870563584048,-3.46733399453195,-1.0039690009821494,-0.21254170083658963,1.0293830807685498,0.9896017264611606,1.5017866631687968,-1.395404492137329,1.347284159196873,-1.3805640672260202,0.7295869703578332,-0.5330485548864691,-0.5243250739615666,-0.5157809090334535,-0.4989058198220586,7.682517273696739,8.032178251410347,7.699167796445006,2.654059403720084
2024-07-30,0.34258421929924765,0.29782379343696713,0.2918352401667972,0.34885027076338804,85.19697311996968,92.5548150804762,125.35615342138823,-3.760170787516527,-4.480247955093208,-3.332744042579189,-3.8016491748787913,-4.394884784859668,-3.320691211061031,-1.8985977609545537,-1.0039690009821494,1.4968139938803733,1.0293830807685498,0.9896017264611606,-1.257031270973552,2.981100389536793,-1.395404492137329,1.347284159196873,-0.5427364650914026,-0.5330485548864691,-0.5243250739615666,-0.5157809090334535,8.065479296906881,7.682517273696739,8.032178251410347,7.699167796445006
2024-07-31,0.5228891598849538,0.09446967135014835,0.34258421929924765,0.29782379343696713,-1.429674261991429,85.19697311996968,92.5548150804762,-3.739869020997404,-4.330686036998081,-3.316673600554978,-3.760170787516527,-4.480247955093208,-3.332744042579189,-2.005865983047562,-1.8985977609545537,1.8498735133584527,1.4968139938803733,1.0293830807685498,-1.6549745167434597,1.2011006017454064,-1.257031270973552,2.981100389536793,-0.5505827515455233,-0.5427364650914026,-0.5330485548864691,-0.5243250739615666,9.014559093558104,8.065479296906881,7.682517273696739,8.032178251410347
2024-08-01,0.7466058778008267,0.013682789635548788,0.5228891598849538,0.09446967135014835,-2.6742407401235626,-1.429674261991429,85.19697311996968,-3.576914537644289,-4.197350176054783,-3.0615553334206393,-3.739869020997404,-4.330686036998081,-3.316673600554978,-1.903548601974231,-2.005865983047562,1.8548461826468763,1.8498735133584527,1.4968139938803733,-1.942988689096265,0.49884625712561664,-1.6549745167434597,1.2011006017454064,-0.5590202961512207,-0.5505827515455233,-0.5427364650914026,-0.5330485548864691,9.03120961630637,9.014559093558104,8.065479296906881,7.682517273696739
2024-08-02,0.7577475546116997,-0.009268323620839245,0.7466058778008267,0.013682789635548788,141.29449243887615,-2.6742407401235626,-1.429674261991429,-3.404388118746037,-3.8558974951206246,-3.101731438481165,-3.576914537644289,-4.197350176054783,-3.0615553334206393,-1.8554841870748637,-1.903548601974231,1.785228812608945,1.8548461826468763,1.8498735133584527,-1.8175321340589983,0.08035999461749586,-1.942988689096265,0.49884625712561664,-0.5649522631801546,-0.5590202961512207,-0.5505827515455233,-0.5427364650914026,9.014559093558104,9.03120961630637,9.014559093558104,8.065479296906881
2024-08-03,0.7828842644898881,0.12845563838229304,0.7577475546116997,-0.009268323620839245,131.11884679724653,141.29449243887615,-2.6742407401235626,-3.4932630256624524,-3.89046605166148,-3.1519515698068226,-3.404388118746037,-3.8558974951206246,-3.101731438481165,-1.7190413661158996,-1.8554841870748637,1.9493268991269257,1.785228812608945,1.8548461826468763,-1.7095268194266962,0.5088784620487561,-1.8175321340589983,0.08035999461749586,-0.5672688320035454,-0.5649522631801546,-0.5590202961512207,-0.5505827515455233,8.548344456606625,9.014559093558104,9.03120961630637,9.014559093558104
2024-08-04,0.8281982793243512,0.3174653146838695,0.7828842644898881,0.12845563838229304,119.074160300253,131.11884679724653,141.29449243887615,-3.620914563940488,-3.7105684614998884,-3.3573519069287605,-3.4932630256624524,-3.89046605166148,-3.1519515698068226,-1.3799382255597872,-1.7190413661158996,1.2531531987476143,1.9493268991269257,1.785228812608945,-1.381251123934877,1.4103437329994664,-1.7095268194266962,0.5088784620487561,-0.5734915817299759,-0.5672688320035454,-0.5649522631801546,-0.5590202961512207,9.131112752795973,8.548344456606625,9.014559093558104,9.03120961630637
2024-08-05,0.6531244918754571,0.2144359007697422,0.8281982793243512,0.3174653146838695,115.27034444455336,119.074160300253,131.11884679724653,-3.756336867096566,-3.708452019262693,-3.3573519069287605,-3.620914563940488,-3.7105684614998884,-3.3573519069287605,-0.642410260086786,-1.3799382255597872,1.0592190964990917,1.2531531987476143,1.9493268991269257,-1.9754177657543102,0.5934356178295067,-1.381251123934877,1.4103437329994664,-0.5761861680601125,-0.5734915817299759,-0.5672688320035454,-0.5649522631801546,7.133050023003926,9.131112752795973,8.548344456606625,9.014559093558104
2024-08-06,0.8120971975915657,0.2665511733786579,0.6531244918754571,0.2144359007697422,98.44459446994657,115.27034444455336,119.074160300253,-3.7617918411169136,-3.8015754776992816,-3.351827692482938,-3.756336867096566,-3.708452019262693,-3.3573519069287605,0.5633258132471262,-0.642410260086786,1.0641917657875155,1.0592190964990917,1.2531531987476143,-2.173702331930407,0.16348397826636885,-1.9754177657543102,0.5934356178295067,-0.5527490826418742,-0.5761861680601125,-0.5734915817299759,-0.5672688320035454,7.149700545752192,7.133050023003926,9.131112752795973,8.548344456606625
2024-08-07,0.9246688956136141,0.2990681309026748,0.8120971975915657,0.2665511733786579,81.5443457977051,98.44459446994657,115.27034444455336,-3.8985778877780777,-3.7430205758035475,-3.5512016138457976,-3.7617918411169136,-3.8015754776992816,-3.351827692482938,0.4974619461103482,0.5633258132471262,1.0641917657875155,1.0641917657875155,1.0592190964990917,-1.6331261134018107,2.8965432337560437,-2.173702331930407,0.16348397826636885,-0.5497007106964499,-0.5527490826418742,-0.5761861680601125,-0.5734915817299759,7.665866750948472,7.149700545752192,7.133050023003926,9.131112752795973
2024-08-08,0.29968682251871,0.3406469537207549,0.9246688956136141,0.2990681309026748,88.08270208423028,81.5443457977051,98.44459446994657,-3.9453054010844495,-4.115514409549902,-3.5125321127250415,-3.8985778877780777,-3.7430205758035475,-3.5512016138457976,0.5182967354014903,0.4974619461103482,1.486868655303526,1.0641917657875155,1.0641917657875155,-2.0155418775515526,0.9904242983594698,-1.6331261134018107,2.8965432337560437,-0.5658343040292281,-0.5497007106964499,-0.5527490826418742,-0.5761861680601125,7.632565705451937,7.665866750948472,7.149700545752192,7.133050023003926
2024-08-09,0.3450978902870659,0.08185347204505548,0.29968682251871,0.3406469537207549,61.98624653043853,88.08270208423028,81.5443457977051,-4.154189736448508,-3.8763564367468453,-4.049385316596318,-3.9453054010844495,-4.115514409549902,-3.5125321127250415,0.11810375297757372,0.5182967354014903,1.4222239545540185,1.486868655303526,1.0641917657875155,-1.9431261004380371,0.6765596014783797,-2.0155418775515526,0.9904242983594698,-0.49419998650090285,-0.5658343040292281,-0.5497007106964499,-0.5527490826418742,8.698199161341028,7.632565705451937,7.665866750948472,7.149700545752192
2024-08-10,0.18272833188471654,0.032365134085966356,0.3450978902870659,0.08185347204505548,100.83074393242173,61.98624653043853,88.08270208423028,-4.109726551980771,-3.994171721284044,-3.616487784569152,-4.154189736448508,-3.8763564367468453,-4.049385316596318,0.6391208317150436,0.11810375297757372,1.2630985373244616,1.4222239545540185,1.486868655303526,-1.8040658225654034,2.50958675814922,-1.9431261004380371,0.6765596014783797,-0.5467734982083159,-0.49419998650090285,-0.5658343040292281,-0.5497007106964499,8.881354911571966,8.698199161341028,7.632565705451937,7.665866750948472
2024-08-11,-0.01918059178548665,-0.025254603562224618,0.18272833188471654,0.032365134085966356,80.78182971603262,100.83074393242173,61.98624653043853,-4.133193232672077,-4.124685659244414,-3.7435447168230653,-4.109726551980771,-3.994171721284044,-3.616487784569152,0.7839624008323888,0.6391208317150436,0.9647383800190423,1.2630985373244616,1.4222239545540185,-1.6071553698070207,2.5511487499736565,-1.8040658225654034,2.50958675814922,-0.5121218934232861,-0.5467734982083159,-0.49419998650090285,-0.5658343040292281,8.01552772866208,8.881354911571966,8.698199161341028,7.632565705451937
2024-08-12,0.10154355268354152,-0.037196786740059634,-0.01918059178548665,-0.025254603562224618,122.49014470061915,80.78182971603262,100.83074393242173,-3.9720141889765284,-3.9179798007450173,-3.6426022528584934,-4.133193232672077,-4.124685659244414,-3.7435447168230653,0.9344326046804384,0.7839624008323888,0.9647383800190423,0.9647383800190423,1.2630985373244616,-1.883626989451031,2.4880891761710635,-1.6071553698070207,2.5511487499736565,-0.517864851698847,-0.5121218934232861,-0.5467734982083159,-0.49419998650090285,7.682517273696739,8.01552772866208,8.881354911571966,8.698199161341028
2024-08-13,0.16785011711897813,-0.07704150933991222,0.10154355268354152,-0.037196786740059634,56.532503635947535,122.49014470061915,80.78182971603262,-4.181130103426356,-3.7430205758035475,-3.9142931633303006,-3.9720141889765284,-3.9179798007450173,-3.6426022528584934,0.7390217308621033,0.9344326046804384,1.2730438759013087,0.9647383800190423,0.9647383800190423,-2.157900027626699,2.1326624874655375,-1.883626989451031,2.4880891761710635,-0.5334071868800484,-0.517864851698847,-0.5121218934232861,-0.5467734982083159,7.815721455682875,7.682517273696739,8.01552772866208,8.881354911571966
2024-08-14,0.11587827101948063,-0.25169809862384435,0.16785011711897813,-0.07704150933991222,85.39198441671924,56.532503635947535,122.49014470061915,-4.101852863064609,-3.7514863447523283,-3.9765661261741148,-4.181130103426356,-3.7430205758035475,-3.9142931633303006,1.815947529809055,0.7390217308621033,1.3526065845160873,1.2730438759013087,0.9647383800190423,-1.6402715031739226,0.14341956842009,-2.157900027626699,2.1326624874655375,-0.5203898147887771,-0.5334071868800484,-0.517864851698847,-0.5121218934232861,8.548344456606625,7.815721455682875,7.682517273696739,8.01552772866208
2024-08-15,-0.0053214328256197835,-0.3968621617240215,0.11587827101948063,-0.25169809862384435,103.54556411975574,85.39198441671924,56.532503635947535,-4.196517247125261,-4.260843443170639,-3.7355094958109603,-4.101852863064609,-3.7514863447523283,-3.9765661261741148,1.0104928467744099,1.815947529809055,1.8100921590510635,1.3526065845160873,1.2730438759013087,-2.1660072967912103,-0.841169686179494,-1.6402715031739226,0.14341956842009,-0.4644965339516095,-0.5203898147887771,-0.5334071868800484,-0.517864851698847,8.848053866075432,8.548344456606625,7.815721455682875,7.682517273696739
2024-08-16,0.015399368560453432,-0.22161796863683794,-0.0053214328256197835,-0.3968621617240215,83.31040315927994,103.54556411975574,85.39198441671924,-3.745169608960571,-3.884822205695626,-3.4166116618930356,-4.196517247125261,-4.260843443170639,-3.7355094958109603,0.7791589062716298,1.0104928467744099,1.4719506474382549,1.8100921590510635,1.3526065845160873,-1.6335383474271246,1.1265756508877964,-2.1660072967912103,-0.841169686179494,-0.45480862374667597,-0.4644965339516095,-0.5203898147887771,-0.5334071868800484,8.881354911571966,8.848053866075432,8.548344456606625,7.815721455682875
2024-08-17,0.13231903802089068,-0.19200446519947253,0.015399368560453432,-0.22161796863683794,50.89251399736987,83.31040315927994,103.54556411975574,-3.881724076535966,-4.195233733817588,-3.3076339769163607,-3.745169608960571,-3.884822205695626,-3.4166116618930356,-0.41585034485298134,0.7791589062716298,1.4719506474382549,1.4719506474382549,1.8100921590510635,-1.55919881152881,1.7342406348036972,-1.6335383474271246,1.1265756508877964,-0.5039848242716686,-0.45480862374667597,-0.4644965339516095,-0.5203898147887771,9.014559093558104,8.881354911571966,8.848053866075432,8.548344456606625
2024-08-18,-0.03718391102256686,-0.2342687328715332,0.13231903802089068,-0.19200446519947253,15.385120021786735,50.89251399736987,83.31040315927994,-3.8511813682239264,-3.893287974644407,-3.4698450010982325,-3.881724076535966,-4.195233733817588,-3.3076339769163607,-0.35667600695112395,-0.41585034485298134,1.1934811672865304,1.4719506474382549,1.4719506474382549,-1.7436048321859974,1.3888461510213095,-1.55919881152881,1.7342406348036972,-0.5395233162840635,-0.5039848242716686,-0.45480862374667597,-0.4644965339516095,8.065479296906881,9.014559093558104,8.881354911571966,8.848053866075432
2024-08-19,0.273831920929717,-0.13213800712708543,-0.03718391102256686,-0.2342687328715332,92.30064305325203,15.385120021786735,50.89251399736987,-3.9367112439014504,-3.6851711546535455,-3.622514200328231,-3.8511813682239264,-3.893287974644407,-3.4698450010982325,0.6190522440102804,-0.35667600695112395,0.8901483406926876,1.1934811672865304,1.4719506474382549,-1.8708477346662926,3.0126301764380905,-1.7436048321859974,1.3888461510213095,-0.5517701142269684,-0.5395233162840635,-0.5039848242716686,-0.45480862374667597,7.765769887438074,8.065479296906881,9.014559093558104,8.881354911571966
2024-08-20,0.18225277250864214,-0.016838043203895786,0.273831920929717,-0.13213800712708543,33.987883048796974,92.30064305325203,15.385120021786735,-3.9124983639337754,-4.039322489010875,-3.4211314737123453,-3.9367112439014504,-3.6851711546535455,-3.622514200328231,1.0601191341383183,0.6190522440102804,1.6062127182256936,0.8901483406926876,1.1934811672865304,-1.9003911731471388,0.8442407409080027,-1.8708477346662926,3.0126301764380905,-0.5524582999443773,-0.5517701142269684,-0.5395233162840635,-0.5039848242716686,7.84902250117941,7.765769887438074,8.065479296906881,9.014559093558104
2024-08-21,0.2029056368409919,-0.12586447240414222,0.18225277250864214,-0.016838043203895786,16.625304223587406,33.987883048796974,92.30064305325203,-3.929841064356956,-3.860835860340747,-3.5979063359786596,-3.9124983639337754,-4.039322489010875,-3.4211314737123453,0.3075323605637987,1.0601191341383183,1.844900844070029,1.6062127182256936,0.8901483406926876,-1.4204133563397197,1.7758026266281326,-1.9003911731471388,0.8442407409080027,-0.5459544602770333,-0.5524582999443773,-0.5517701142269684,-0.5395233162840635,8.74815072958583,7.84902250117941,7.765769887438074,8.065479296906881
2024-08-22,-0.14968767199088964,-0.24347905214896048,0.2029056368409919,-0.12586447240414222,3.594605552017342,16.625304223587406,33.987883048796974,-4.103113682531576,-3.6611848092986667,-3.7997912639078013,-3.929841064356956,-3.860835860340747,-3.5979063359786596,0.29049910991276595,0.3075323605637987,1.8001468204742161,1.844900844070029,1.6062127182256936,-2.014579998159153,3.273467504439726,-1.4204133563397197,1.7758026266281326,-0.5567279592192881,-0.5459544602770333,-0.5524582999443773,-0.5517701142269684,8.947957002565035,8.74815072958583,7.84902250117941,7.765769887438074
2024-08-23,-0.2738766061998849,-0.38536068139862634,-0.14968767199088964,-0.24347905214896048,63.42801544348596,3.594605552017342,16.625304223587406,-4.139342943949733,-3.618150483809031,-3.916301968583326,-4.103113682531576,-3.6611848092986667,-3.7997912639078013,1.214214060875774,0.29049910991276595,1.7951741511857924,1.8001468204742161,1.844900844070029,-1.8281128073753947,1.8187977905844461,-2.014579998159153,3.273467504439726,-0.5640702223310811,-0.5567279592192881,-0.5459544602770333,-0.5524582999443773,8.8647043888237,8.947957002565035,8.74815072958583,7.84902250117941
2024-08-24,-0.207230356495823,-0.36008507662643535,-0.2738766061998849,-0.38536068139862634,29.01399941259989,63.42801544348596,3.594605552017342,-3.988018876904152,-3.8093357659023304,-3.8193771151248077,-4.139342943949733,-3.618150483809031,-3.916301968583326,1.5331896751435559,1.214214060875774,1.3376885766508162,1.7951741511857924,1.8001468204742161,-1.7812555398313552,0.6564951916320991,-1.8281128073753947,1.8187977905844461,-0.5508299168383956,-0.5640702223310811,-0.5567279592192881,-0.5459544602770333,9.08116118455117,8.8647043888237,8.947957002565035,8.74815072958583
2024-08-25,-0.20274651094998508,-0.4149828260683921,-0.207230356495823,-0.36008507662643535,56.015395028836295,29.01399941259989,63.42801544348596,-4.140578032407169,-3.7987535547163547,-3.932372410607537,-3.988018876904152,-3.8093357659023304,-3.8193771151248077,0.7648662997564909,1.5331896751435559,1.1338091358254465,1.3376885766508162,1.7951741511857924,-1.8044780565907175,2.2688138399938635,-1.7812555398313552,0.6564951916320991,-0.5384280347901591,-0.5508299168383956,-0.5640702223310811,-0.5567279592192881,8.24863504713782,9.08116118455117,8.8647043888237,8.947957002565035
2024-08-26,-0.20627923774367563,-0.3267644844891481,-0.20274651094998508,-0.4149828260683921,31.923830896683466,56.015395028836295,29.01399941259989,-4.10998386207607,-3.745137018040743,-3.8525224017997415,-4.140578032407169,-3.7987535547163547,-3.932372410607537,0.959393094821312,0.7648662997564909,0.9050663485579585,1.1338091358254465,1.3376885766508162,-1.8437777003373315,1.8187977905844461,-1.8044780565907175,2.2688138399938635,-0.5648504892360307,-0.5384280347901591,-0.5508299168383956,-0.5640702223310811,7.216302636745261,8.24863504713782,9.08116118455117,8.8647043888237
2024-08-27,-0.1297821152495147,-0.34941315461151,-0.20627923774367563,-0.3267644844891481,46.31084409283768,31.923830896683466,56.015395028836295,-4.091869231366991,-4.397706707842595,-3.581333692641192,-4.10998386207607,-3.745137018040743,-3.8525224017997415,0.6956724026481432,0.959393094821312,0.9000936792695349,0.9050663485579585,1.1338091358254465,-2.0057856722857847,-0.07728893988898773,-1.8437777003373315,1.8187977905844461,-0.5139102070128911,-0.5648504892360307,-0.5384280347901591,-0.5508299168383956,7.632565705451937,7.216302636745261,8.24863504713782,9.08116118455117
2024-08-28,0.059286705266696105,-0.21977738613547843,-0.1297821152495147,-0.34941315461151,125.89955568648816,46.31084409283768,31.923830896683466,-4.012411873938535,-4.382891612182229,-3.581333692641192,-4.091869231366991,-4.397706707842595,-3.581333692641192,-0.25547845896557747,0.6956724026481432,1.1338091358254465,0.9000936792695349,0.9050663485579585,-1.7139239823633803,0.4472520603780401,-2.0057856722857847,-0.07728893988898773,-0.5553806660542198,-0.5139102070128911,-0.5648504892360307,-0.5384280347901591,7.882323546675943,7.632565705451937,7.216302636745261,8.24863504713782
2024-08-29,0.09284760980676245,-0.25920732958009485,0.059286705266696105,-0.21977738613547843,7.472920105351631,125.89955568648816,46.31084409283768,-4.04501306301297,-4.296822961202957,-3.6591748961959616,-4.012411873938535,-4.382891612182229,-3.581333692641192,-0.4805354403184081,-0.25547845896557747,1.3327159073623926,1.1338091358254465,0.9000936792695349,-1.6169115750727885,0.9488623065350339,-1.7139239823633803,0.4472520603780401,-0.5811197811609741,-0.5553806660542198,-0.5139102070128911,-0.5648504892360307,7.84902250117941,7.882323546675943,7.632565705451937,7.216302636745261
2024-08-30,0.23707797486458249,-0.3115213505342278,0.09284760980676245,-0.25920732958009485,106.24942861626113,7.472920105351631,125.89955568648816,-4.090608411900025,-4.494357570007842,-3.5512016138457976,-4.04501306301297,-4.296822961202957,-3.6591748961959616,-0.7189420108492981,-0.4805354403184081,1.372497261669782,1.3327159073623926,1.1338091358254465,-2.0147174095009244,-0.4957752023971073,-1.6169115750727885,0.9488623065350339,-0.5933229616992545,-0.5811197811609741,-0.5553806660542198,-0.5139102070128911,7.765769887438074,7.84902250117941,7.882323546675943,7.632565705451937
